id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
68454614,,,,UTC,3758054,mingma_tamang1,2021-01-22 17:52:55 UTC,2021-04-14 03:58:04 UTC,casual,,https://www.inaturalist.org/observations/68454614,https://static.inaturalist.org/photos/110846359/medium.jpeg?1611338003,,,,0,0,false,2,"Martam, Sikkim, India",27.2620341804,88.5556247458,202,,,,202,,,false,gps,gps,,Soricidae,Shrews,Mammalia,46341,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,,,Soricidae,,,,,,,,,,,
69273725,2016/03/12,2016-03-12,,UTC,730396,suemilks,2021-02-08 21:35:54 UTC,2021-04-26 21:47:07 UTC,research,,https://www.inaturalist.org/observations/69273725,https://static.inaturalist.org/photos/112377733/medium.jpg?1612820108,,"India, adult, West Bengal",Neora Valley National Park,1,0,false,,"Bangal, Darjeeling, West Bengal 734101, India",27.0824496,88.7006888,200,,,,200,,open,false,,,Orange-bellied Himalayan Squirrel,Dremomys lokriah,Orange-bellied Himalayan Squirrel,Mammalia,46172,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Dremomys,,Dremomys lokriah,,,,
71196687,2021/02/13 9:49 PM IST,2021-02-13,2021-02-13 16:19:00 UTC,Kolkata,3818028,atanu_modak,2021-03-14 06:45:08 UTC,2021-03-17 14:20:54 UTC,research,,https://www.inaturalist.org/observations/71196687,https://static.inaturalist.org/photos/115876722/medium.jpeg?1615704137,,,,2,0,false,,"Hee Burmiok, Sikkim 737113, India",27.2559625,88.1826465,1928,,,,1928,,open,false,,,Orange-bellied Himalayan Squirrel,Dremomys lokriah,Orange-bellied Himalayan Squirrel,Mammalia,46172,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Dremomys,,Dremomys lokriah,,,,
71196689,2021/03/07 8:18 AM IST,2021-03-07,2021-03-07 02:48:00 UTC,Kolkata,3818028,atanu_modak,2021-03-14 06:45:09 UTC,2021-03-17 14:19:40 UTC,research,,https://www.inaturalist.org/observations/71196689,https://static.inaturalist.org/photos/115876750/medium.jpeg?1615704168,,,,2,0,false,,"Kolbong Forest, West Bengal 734319, India",27.0824661758,88.6680876803,977,,,,977,,open,false,,,Orange-bellied Himalayan Squirrel,Dremomys lokriah,Orange-bellied Himalayan Squirrel,Mammalia,46172,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Dremomys,,Dremomys lokriah,,,,
73013856,2021-04-05 7:50:05 PM GMT+05:30,2021-04-05,2021-04-05 14:20:05 UTC,Kolkata,3818028,atanu_modak,2021-04-05 15:08:24 UTC,2021-04-14 09:54:01 UTC,research,,https://www.inaturalist.org/observations/73013856,https://static.inaturalist.org/photos/119148685/medium.jpeg?1617635322,,,We have seen the squirrel flying for several times at around 6.30 pm.,1,0,false,2,"Sikkim 737113, India",27.2484579042,88.233246021,205,,,,205,,open,false,gps,gps,Red Giant Flying Squirrel,Petaurista petaurista,Red Giant Flying Squirrel,Mammalia,45982,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,,Pteromyini,,Petaurista,,Petaurista petaurista,,,,
73930391,2021/04/05 2:17 PM IST,2021-04-05,2021-04-05 08:47:00 UTC,Mumbai,2119456,udayagashe,2021-04-14 11:41:09 UTC,2021-04-15 06:26:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/73930391,https://inaturalist-open-data.s3.amazonaws.com/photos/120770051/medium.jpg?1618400218,,"Animals, Laypanchar, Location, Orange-bellied Himalayan Squirrel, Places visited from Latpanchar town, Squirrel, West Bengal",,1,0,false,,"Mahananda Sanctuary Region, West Bengal 734009, India",26.7961932,88.3630076,544,,,,544,,open,false,,,Orange-bellied Himalayan Squirrel,Dremomys lokriah,Orange-bellied Himalayan Squirrel,Mammalia,46172,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Dremomys,,Dremomys lokriah,,,,
73930392,2021/04/05 2:19 PM IST,2021-04-05,2021-04-05 08:49:00 UTC,Mumbai,2119456,udayagashe,2021-04-14 11:41:09 UTC,2021-04-15 06:26:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/73930392,https://inaturalist-open-data.s3.amazonaws.com/photos/120770057/medium.jpg?1618400222,,"Animals, Laypanchar, Location, Orange-bellied Himalayan Squirrel, Places visited from Latpanchar town, Squirrel, West Bengal",,1,0,false,,"Mahananda Sanctuary Region, West Bengal 734009, India",26.7961932,88.3630076,544,,,,544,,open,false,,,Orange-bellied Himalayan Squirrel,Dremomys lokriah,Orange-bellied Himalayan Squirrel,Mammalia,46172,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Dremomys,,Dremomys lokriah,,,,
74976228,2021-04-23 7:10:00 PM GMT+06:00,2021-04-23,2021-04-23 13:10:00 UTC,Almaty,3818028,atanu_modak,2021-04-23 22:07:13 UTC,2021-04-23 22:07:13 UTC,casual,,https://www.inaturalist.org/observations/74976228,,,,"It is a resident of this area. Frequently found from this area. Couldn't take any photograph due to low light conditions, as it is almost dark at that time.
Seen it flying for twice.",0,0,false,2,"Lava, West Bengal 734319, India",27.0852356024,88.6653676629,5,,,,5,,open,false,gps,gps,Hodgson's Giant Flying Squirrel,Petaurista magnificus,Hodgson's Giant Flying Squirrel,Mammalia,45985,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,,Pteromyini,,Petaurista,,Petaurista magnificus,,,,
75404089,2021-04-22 5:19:32 PM GMT+05:30,2021-04-22,2021-04-22 11:49:32 UTC,Kolkata,13193,rohitmg,2021-04-27 07:14:37 UTC,2021-04-27 10:48:26 UTC,needs_id,CC-BY-SA,https://www.inaturalist.org/observations/75404089,https://inaturalist-open-data.s3.amazonaws.com/photos/123359850/medium.jpeg?1619507690,,,,0,0,false,2,"Major Buliding, Metro Point, Tadong, Gangtok, Sikkim 737102, India",27.310413,88.5953319722,,,,,,,,false,gps,gps,Shrews,Soricidae,Shrews,Mammalia,46341,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,,,Soricidae,,,,,,,,,,,
75628028,2015/05/06 11:25 AM IST,2015-05-06,2015-05-06 05:55:00 UTC,Chennai,3164384,rohanchak,2021-04-29 05:55:46 UTC,2021-04-29 12:29:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75628028,https://inaturalist-open-data.s3.amazonaws.com/photos/123756747/medium.jpeg?1619675716,,,,1,0,false,,"Algarah, West Bengal 734314, India",27.1171661,88.5837063,327,,,,327,,open,false,,,Himalayan Striped Squirrel,Tamiops macclellandii,Himalayan Striped Squirrel,Mammalia,75151,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Tamiops,,Tamiops macclellandii,,,,
77398939,2021/04/20 5:09 PM IST,2021-04-20,2021-04-20 11:39:00 UTC,Kolkata,3818028,atanu_modak,2021-05-05 03:28:12 UTC,2021-05-07 09:14:51 UTC,research,,https://www.inaturalist.org/observations/77398939,https://static.inaturalist.org/photos/126576075/medium.jpeg?1620184785,,,,1,0,false,,"Rishop, West Bengal 734319, India",27.1067817,88.6494589,700,,,,700,,open,false,,,Himalayan Striped Squirrel,Tamiops macclellandii,Himalayan Striped Squirrel,Mammalia,75151,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Tamiops,,Tamiops macclellandii,,,,
77398940,2021/04/23 7:53 AM IST,2021-04-23,2021-04-23 02:23:00 UTC,Kolkata,3818028,atanu_modak,2021-05-05 03:28:13 UTC,2021-05-17 04:54:42 UTC,research,,https://www.inaturalist.org/observations/77398940,https://static.inaturalist.org/photos/126576092/medium.jpeg?1620184790,,,,1,0,false,,"Kolbong Forest, West Bengal 734319, India",27.0892626511,88.6596890721,15,,,,15,,open,false,,,Orange-bellied Himalayan Squirrel,Dremomys lokriah,Orange-bellied Himalayan Squirrel,Mammalia,46172,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Dremomys,,Dremomys lokriah,,,,
77405475,2021/04/06 9:05 AM IST,2021-04-06,2021-04-06 03:35:00 UTC,Kolkata,3818028,atanu_modak,2021-05-05 04:30:29 UTC,2021-05-17 04:54:42 UTC,research,,https://www.inaturalist.org/observations/77405475,https://static.inaturalist.org/photos/126589262/medium.jpeg?1620188907,,,,1,0,false,,"West Sikkim, Sikkim, India",27.246066949,88.1879693438,244,,,,244,,open,false,,,Orange-bellied Himalayan Squirrel,Dremomys lokriah,Orange-bellied Himalayan Squirrel,Mammalia,46172,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Dremomys,,Dremomys lokriah,,,,
81455270,2021-03-17 09:01:53,2021-03-17,2021-03-17 03:31:53 UTC,Kolkata,8853,ivijayanand,2021-06-03 17:28:58 UTC,2021-06-06 11:39:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/81455270,https://inaturalist-open-data.s3.amazonaws.com/photos/133608032/medium.jpg?1622741302,,"Ratufa bicolor, Darjeeling Mammals, Darjeeling Mammals-1 - Ratufa bicolor","Location: Latpanchor, West Bengal
Date: 18th March 2021",2,0,false,,"Darjiling, IN-WB, IN",26.9852440736,88.4034469793,3052,,,,29798,,obscured,true,,google,ratufa uzdičková,Ratufa bicolor,Black Giant Squirrel,Mammalia,46033,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Ratufinae,,,,Ratufa,,Ratufa bicolor,,,,
84023015,2021-03-20 06:37:06,2021-03-20,2021-03-20 01:07:06 UTC,Kolkata,8853,ivijayanand,2021-06-22 04:46:05 UTC,2021-06-22 04:46:07 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/84023015,https://inaturalist-open-data.s3.amazonaws.com/photos/138055636/medium.jpg?1624337162,,"Dremomys lokriah, Sikkim West Mammals, Sikkim West Mammals-1 - Dremomys lokriah","Location: Hilley, West Sikkim
Date: 21st March 2021",0,0,false,,Hilley-Barsey Rhododendron Sanctuary,27.1942,88.1183,,,,,,,open,false,,,Orange-bellied Himalayan Squirrel,Dremomys lokriah,Orange-bellied Himalayan Squirrel,Mammalia,46172,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Dremomys,,Dremomys lokriah,,,,
