"catalogNumber","createdBy","placeName","flagNotes","noOfIdentifications","geoPrivacy","createdOn","associatedMedia","group_id","dateAccuracy","isLocked","locationLat","locationLon","locationScale","fromDate","toDate","rank","scientificName","commonName","kingdom","phylum","class","order","superfamily","family","genus","species","","","reverseGeocodedName","state","tahsil","district","","toDate","observedInMonth","lastRevised",""
"1725942","Siddarth Jude Machado","North Sikkim, Sikkim, India",,"1","false","20/06/2016","/cc616e9e-af15-4a7c-a18f-b03d416f046b/612.jpg","Mammals",,"false","27.82363510131836","88.55653381347656","APPROXIMATE","29/05/2016","29/05/2016","Species","Marmota himalayana (Hodgson 1841)","Himalayan Marmot:null","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Marmota","Marmota himalayana (Hodgson 1841)",,,"North Sikkim, Sikkim, India","SIKKIM","Chungthang","NORTH",,"2016-05-29T00:00:00.000Z","May","2016-12-02T05:28:11.461Z",
"916053","admin","SIKKIM; 27 30'N,88 30'E, Sikkim",,"1","false","09/03/2016",,"Mammals",,"false","27.75","88.5","APPROXIMATE","02/04/1992","02/04/1992","Species","Sphaerias blanfordi (Thomas 1891)","","Animalia","Chordata","Mammalia","Chiroptera",,"Pteropodidae","Sphaerias","Sphaerias blanfordi (Thomas 1891)",,,"SIKKIM; 27 30'N,88 30'E, Sikkim","SIKKIM","Chungthang","NORTH",,"1992-04-02T00:00:00.000Z","April","2016-03-09T10:56:00.642Z",
"916055","admin","SIKKIM; 27 30'N,88 30'E, Sikkim",,"1","false","09/03/2016",,"Mammals",,"false","27.75","88.5","APPROXIMATE","01/05/1992","01/05/1992","Species","Eonycteris spelaea (Dobson 1871)","","Animalia","Chordata","Mammalia","Chiroptera",,"Pteropodidae","Eonycteris","Eonycteris spelaea (Dobson 1871)",,,"SIKKIM; 27 30'N,88 30'E, Sikkim","SIKKIM","Chungthang","NORTH",,"1992-05-01T00:00:00.000Z","May","2016-03-09T10:56:00.642Z",
"916054","admin","SIKKIM; 27 30'N,88 30'E, Sikkim",,"1","false","09/03/2016",,"Mammals",,"false","27.75","88.5","APPROXIMATE","03/06/1992","03/06/1992","Species","Philetor brachypterus (Temminck 1840)","","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionoidea","Vespertilionidae","Philetor","Philetor brachypterus (Temminck 1840)",,,"SIKKIM; 27 30'N,88 30'E, Sikkim","SIKKIM","Chungthang","NORTH",,"1992-06-03T00:00:00.000Z","June","2016-03-09T10:56:00.642Z",
"916058","admin","SIKKIM; 27 30'N,88 30'E, Sikkim",,"1","false","09/03/2016",,"Mammals",,"false","27.75","88.5","APPROXIMATE","05/05/1992","05/05/1992","Species","Cynopterus sphinx (Vahl 1797)","","Animalia","Chordata","Mammalia","Chiroptera",,"Pteropodidae","Cynopterus","Cynopterus sphinx (Vahl 1797)",,,"SIKKIM; 27 30'N,88 30'E, Sikkim","SIKKIM","Chungthang","NORTH",,"1992-05-05T00:00:00.000Z","May","2016-03-09T10:56:00.642Z",
"916062","admin","SIKKIM; 27 30'N,88 30'E, Sikkim",,"1","false","09/03/2016",,"Mammals",,"false","27.75","88.5","APPROXIMATE","03/06/1992","03/06/1992","Species","Pipistrellus coromandra (Gray 1838)","","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionoidea","Vespertilionidae","Pipistrellus","Pipistrellus coromandra (Gray 1838)",,,"SIKKIM; 27 30'N,88 30'E, Sikkim","SIKKIM","Chungthang","NORTH",,"1992-06-03T00:00:00.000Z","June","2016-03-09T10:56:00.642Z",
"916057","admin","SIKKIM; 27 30'N,88 30'E, Sikkim",,"1","false","09/03/2016",,"Mammals",,"false","27.75","88.5","APPROXIMATE","12/05/1992","12/05/1992","Species","Pipistrellus coromandra (Gray 1838)","","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionoidea","Vespertilionidae","Pipistrellus","Pipistrellus coromandra (Gray 1838)",,,"SIKKIM; 27 30'N,88 30'E, Sikkim","SIKKIM","Chungthang","NORTH",,"1992-05-12T00:00:00.000Z","May","2016-03-09T10:56:00.642Z",
"916059","admin","SIKKIM; 27 30'N,88 30'E, Sikkim",,"1","false","09/03/2016",,"Mammals",,"false","27.75","88.5","APPROXIMATE","02/04/1992","02/04/1992","Species","Philetor brachypterus (Temminck 1840)","","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionoidea","Vespertilionidae","Philetor","Philetor brachypterus (Temminck 1840)",,,"SIKKIM; 27 30'N,88 30'E, Sikkim","SIKKIM","Chungthang","NORTH",,"1992-04-02T00:00:00.000Z","April","2016-03-09T10:56:00.642Z",
"916060","admin","SIKKIM; 27 30'N,88 30'E, Sikkim",,"1","false","09/03/2016",,"Mammals",,"false","27.75","88.5","APPROXIMATE","01/07/1992","01/07/1992","Species","Hipposideros armiger (Hodgson 1835)","","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophoidea","Hipposideridae","Hipposideros","Hipposideros armiger (Hodgson 1835)",,,"SIKKIM; 27 30'N,88 30'E, Sikkim","SIKKIM","Chungthang","NORTH",,"1992-07-01T00:00:00.000Z","July","2016-03-09T10:56:00.642Z",
"916050","admin","SIKKIM; 27 30'N,88 30'E, Sikkim",,"1","false","09/03/2016",,"Mammals",,"false","27.75","88.5","APPROXIMATE","15/10/1992","15/10/1992","Species","Eonycteris spelaea (Dobson 1871)","","Animalia","Chordata","Mammalia","Chiroptera",,"Pteropodidae","Eonycteris","Eonycteris spelaea (Dobson 1871)",,,"SIKKIM; 27 30'N,88 30'E, Sikkim","SIKKIM","Chungthang","NORTH",,"1992-10-15T00:00:00.000Z","October","2016-03-09T10:56:00.642Z",
